Gene,FDR,FC
Arl15,0.014231595,0.526425998
Arl4a,0.002576254,0.334017767
Arl4a,0.007014862,0.391927433
Arl4d,0.006995031,0.196968997
Arl4d,0.005954313,0.230666319
Armc2,0.004647094,0.142209067
Armc3,0.000536945,0.158323196
Armc4,0.006379911,0.16088454
Armcx1,8.94E-06,0.139198372
Armcx2,0.003853337,0.306937287
Armcx3,0.00499395,0.474449535
Arnt,0.050539707,1.595764704
Arntl2,5.04E-05,10.28542308
Arntl2,0.000242946,7.593455695
Arntl2,0.000315943,3.988294413
Arrb1,0.00177326,0.324491202
Arrdc2,0.005820708,0.421969757
Arrdc2,0.002931028,0.438919755
Arrdc4,0.000829505,4.861348148
Arsa,0.00079185,0.445261741
Art3,0.004103141,0.206945024
Art4,0.000209316,0.398020316
Art4,0.011129961,0.531089555
Arvcf,0.002685601,0.303184622
Arxes2,0.000298675,0.166145479
As3mt,0.060444975,0.584987734
Asap1,0.000176786,0.453055266
Asap2,0.000720079,0.202805085
Asb1,9.18E-05,0.576162874
Asb1,0.00026607,0.578217522
Asb1,0.000916182,0.591146974
Asb1,0.003151338,0.596186488
Asb1,0.002923751,0.606536545
Asb1,0.001105052,0.613195843
Asb1,0.000868104,0.618254778
Asb14,3.77E-06,0.171669081
Asb16,0.000202625,19.50223876
Asb2,0.008541453,0.261953229
Ascl1,0.002015415,0.419668922
Ascl1,0.005740206,0.455830263
Ascl1,0.036018873,0.482097362
Ascl1,0.017373048,0.496116973
Asf1a,0.003345103,0.619088032
Asf1b,0.138469759,2.31410075
Asns,0.003130976,2.12514968
Aspa,0.002401491,3.198989688
Aspm,0.111822691,2.463701997
Ass1,0.005754461,4.846805213
Ass1,0.006415351,4.840395669
Atad3a,1.56E-05,2.265715754
Atf5,0.023708525,0.364277015
Atf7ip2,0.023373107,2.636905039
Atl2,1.69E-05,2.181409552
Atoh8,0.008470619,0.45052414
Atox1,4.74E-06,2.120644527
Atp10b,1.42E-05,81.15911474
Atp11b,0.000604282,2.401365113
Atp13a4,0.031834712,0.507266981
Atp13a5,0.00566663,9.106001506
Atp1a2,3.87E-06,0.037499445
Atp1a2,0.000192264,0.075712519
Atp1a4,0.00015572,0.271362623
Atp1a4,0.000252496,0.277425857
Atp1b2,0.000316919,0.38959222
Atp2a3,0.042534602,0.326421479
Atp2b2,0.003209693,0.052493325
Atp2b2,0.026729587,0.262223779
Atp2c1,0.001920365,0.54066713
Atp2c2,0.003923857,3.244300765
Atp5l,0.000640351,2.54281117
Atp6v1c2,0.003277903,0.447279394
Atp8b1,0.000988907,2.837924023
Atp9a,0.001915381,2.035971853
Atpif1,0.000247275,2.248754795
AU021034,0.008839147,0.209080099
AU021034,0.002363654,0.245811358
Aurka,0.053517543,3.497772017
Avpi1,0.000505069,3.806881337
AW011956,0.001419215,28.09364931
AW549542,8.91E-05,0.094320284
Axin2,0.016987048,0.393425769
B230120H23Rik,0.000849706,0.551231551
B230217C12Rik,0.000783208,0.206155401
B3galt5,0.01642781,8.245605923
B3gnt4,0.006467073,0.330021036
B3gnt5,0.018286506,0.186413551
B3gnt9-ps,0.000689349,0.297459762
B430105G09Rik,0.00505561,0.247549669
B4galnt1,0.004791067,2.051747152
B4galnt3,0.001759823,7.761070312
B4galnt4,0.002643873,3.107858525
B4galt1,0.008495541,2.092591366
B4galt6,0.000941477,3.565855645
B4galt6,0.001558163,3.297029878
Bace2,0.001012128,4.954495489
Bach2,0.001695771,0.261601269
Bach2,0.006869348,0.458254335
Bag2,0.000144315,5.842240643
Bag5,0.001338019,0.557254291
Bai1,6.92E-05,15.21244965
Baiap3,0.000501219,0.411865797
Bard1,0.053895692,2.410942296
Barx2,0.001477104,7.280183821
Barx2,0.000336733,5.570088619
Basp1,0.000282544,7.120677552
Bbs9,0.02305278,0.500626217
BC006779,0.002623508,0.39299914
BC016495,0.006680408,3.390961428
BC016579,0.000696075,6.641116107
BC018465,0.00026155,0.152864494
BC020535,0.000188569,0.079515713
BC020535,8.25E-05,0.103362753
BC020535,0.000235948,0.108149619
BC021614,0.000405568,4.336086734
BC028528,0.000303164,0.094810014
BC030336,4.74E-05,0.480306945
BC030336,0.000175829,0.489458367
BC030867,0.000108259,13.2702203
BC034090,0.003388116,0.378980775
BC048355,0.00829023,4.22591456
BC049715,0.000821057,0.39411876
BC051142,0.039978545,0.328823682
BC053749,7.11E-05,0.293627609
BC055324,0.011911849,2.307823612
BC055324,0.016769171,2.202637555
BC068157,0.016282934,0.377519707
BC094916,0.004849009,0.131283154
BC100451,0.003951086,0.447812171
Bcl2,0.006993696,0.554050306
Bcl2l10,0.009887926,2.278935288
Bcl2l14,0.003361558,4.770219892
Bcl2l15,0.007882516,5.861775807
Bcl3,4.28E-05,2.836500597
Bdh1,0.001915795,7.286263759
Bdh1,0.001984532,6.086420077
Bdh1,0.001322041,5.315366575
Bdnf,0.001889032,0.227214442
Bean1,0.037745017,3.081452149
Begain,0.014081166,0.339052554
Bend6,0.001401381,0.332185094
Beta-s,0.00781538,0.08747669
Bex2,0.066683237,0.24957218
Bex4,7.56E-07,0.009048908
Bfar,0.001291392,0.495052614
Bfsp1,0.003361719,3.803771487
Bglap,0.000544699,4.712356324
Bglap2,0.005687062,15.61227188
Bglap-rs1,0.002359412,31.94291002
Bglap-rs1,0.008375227,12.29680862
Bgn,0.00303155,0.324912039
Bhlhe40,0.002170781,4.430079516
Bhlhe41,0.004659955,2.614951724
Bhlhe41,0.002411136,1.853219741
Bicc1,0.003160521,0.219839615
Bid,0.009677621,2.552591048
Bin1,0.002155106,0.422772119
Birc5,0.039707331,3.959311058
Birc5,0.076770857,3.30632582
Birc5,0.128740544,3.005734464
Blm,0.047662092,1.893833401
Blmh,0.000741861,2.1299568
Blvrb,0.002629004,3.526577537
Bmp3,0.00024851,0.167981634
Bmp4,7.47E-05,0.143649559
